concept,name,concept_type,domain,description,source_url,tags,scales,indicator_url,color,drill_up,unit
decile,Income Decile,entity_domain,,,,,,,,,
quintile,Income Quintile,entity_domain,,,,,,,,,
name,Name,string,,,,_none,,,,,
name_long,Name Long,string,,,,_none,,,,,
name_short,Name Short,string,,,,_none,,,,,
name_catalog,Name Catalog,string,,,,_none,,,,,
description,Description,string,,,,_none,,,,,
domain,Domain,string,,,,_none,,,,,
source_url,Source url,string,,,,_none,,,,,
indicator_url,Indicator url,string,,,,_none,,,,,
drill_up,drill ups,string,,,,_none,,,,,
unit,Unit,string,,,,_none,,,,,
format,Format,string,,value formatter settings: add 'format' concept property to your measures then use 'percent' to add % sign or 'share' to multiply x100 and add a % sign,,_none,,,,,
tags,Tags,string,,,,_none,,,,,
synonym,Synonym,string,,,,_none,,,,,
scales,Scales,string,,,,_none,,,,,
geo,Geographic location,entity_domain,,,,_none,,,,,
country,Country,entity_set,geo,,,categorizations,,,,"[""world_6region"", ""income_groups"", ""landlocked"", ""g77_and_oecd_countries"", ""main_religion_2008"", ""world_4region"", ""unicef_region"", ""un_sdg_ldc"", ""un_sdg_region""]",
world_4region,World Regions,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,"{""shades"": {""fill3"": 2, ""print_stroke"": 5, ""print_fill"": 4, ""fill2"": 1, ""shade"": 3, ""fill1"": 0}, ""palette"": {""americas"": [""#7feb00"", ""#5de200"", ""#81f201"", ""#00b900"", ""#b5ea32"", ""#008d36""], ""europe"": [""#ffe700"", ""#fbdd00"", ""#fff400"", ""#fbaf09"", ""#ffe700"", ""#b17f4a""], ""africa"": [""#00d5e9"", ""#00c8ec"", ""#00e1ec"", ""#0098df"", ""#77dff7"", ""#0586c6""], ""asia"": [""#ff5872"", ""#ff5178"", ""#ff658a"", ""#da0025"", ""#fa4e73"", ""#b2043a""], ""_default"": [""#ffb600"", ""#ffaa14"", ""#ffc500"", ""#fb6d19"", ""#ffb600"", ""#9b4838""]}, ""selectable"": false}",,
world_6region,World Regions (6 colors),entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,"{""palette"": {""east_asia_pacific"": ""#f03838"", ""sub_saharan_africa"": ""#4e7af0"", ""south_asia"": ""#35d1d1"", ""europe_central_asia"": ""#f49d37"", ""middle_east_north_africa"": ""#5be56b"", ""america"": ""#ebcc21""}, ""selectable"": false}",,
un_sdg_region,UN SDG Regions,entity_set,geo,,,categorizations,,https://unstats.un.org/sdgs/indicators/regional-groups,"{""palette"": {""un_sub_saharan_africa"":""#e11484"",""un_northern_africa_and_western_asia"":""#f99d26"",""un_central_and_southern_asia"":""#f36d25"",""un_eastern_and_south_eastern_asia"":""#279b48"",""un_oceania_exc_australia_and_new_zealand"":""#8f1838"",""un_latin_america_and_the_caribbean"":""#00aed9"",""un_australia_and_new_zealand"":""#eb1c2d"",""un_europe_and_northern_america"":""#02558b""}, ""selectable"": true}",,
g77_and_oecd_countries,G77 and OECD countries,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=tVI_UCwI1enCk4p61fWxUig,"{""palette"": {""others"": ""#f05656"", ""oecd"": ""#71c44c"", ""g77"": ""#7487ef""}}",,
global,World,entity_set,geo,,,_none,,,,,
income_groups,Income groups,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=phT4mwjvEuGCSmAe5aq7HKw,"{""palette"": {""upper_middle_income"": ""#a7cb7d"", ""lower_middle_income"": ""#7ea1d1"", ""high_income"": ""#7bc135"", ""low_income"": ""#4366f4""}}",,
landlocked,Landlocked,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=rBwKBodk7Y08pGiA4OAfzUA,"{""palette"": {""landlocked"": ""#f05656"", ""coastline"": ""#7487ef""}}",,
un_sdg_ldc,UN SDG Least Developed Countries,entity_set,geo,,,categorizations,,https://unstats.un.org/sdgs/indicators/regional-groups,"{""palette"": {""un_least_developed"": ""#dc2339"", ""un_not_least_developed"": ""#23DCC6""}}",,
main_religion_2008,Main religion 2008,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,"{""palette"": {""muslim"": ""#71c44c"", ""christian"": ""#7487ef"", ""eastern_religions"": ""#f05656""}, ""selectable"": false}",,
unicef_region,UNICEF regions,entity_set,geo,,,categorizations,,https://docs.google.com/spreadsheets/d/1POAjAhMgUjv6Mt_FSVSgzAr7c6oUvzinpQPvhfmOuuU,"{""palette"": {""sa"": ""#961a49"", ""eca"": ""#ffc20e"", ""mena"": ""#374ea2"", ""ssa"": ""#6a1e74"", ""lac"": ""#f26a21"", ""eap"": ""#e2231a"", ""na"": ""#00833d""}}",,
tag,Tag,entity_domain,,,,_none,,,,,
time,Time,time,,,,_none,,,,,
iso3166_1_alpha2,ISO 3166-1 alpha-2,string,,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_1_alpha3,ISO 3166-1 alpha-3,string,,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_1_numeric,ISO 3166-1 numeric,string,,,,_none,,http://www.iso.org/iso/home/standards/country_codes.htm,,,
iso3166_2,ISO 3166-2,string,,,,_none,,https://en.wikipedia.org/wiki/ISO_3166-2,,,
unicode_region_subtag,Unicode CLDR Region subtag,string,,,,_none,,http://www.unicode.org/reports/tr35/#unicode_region_subtag_validity,,,
latitude,Latitude,measure,,,,_none,"[""linear""]",,,,degrees
longitude,Longitude,measure,,,,_none,"[""linear""]",,,,degrees
rank,Ranking order,measure,,,,_none,,,,,
topojson,TopoJSON,string,,,,_none,,,,,
color,Color,string,,,,_none,,,,,
shape_lores_svg,SVG shape of geographic area,string,, low resolution,,_none,,,,,
parent,Parent,string,,,,_none,,,,,
un_state,UN member states and permanent observers,boolean,,,,_none,,https://www.un.org/en/member-states/index.html,,,
income_3groups,Income Groups (3 levels),entity_set,geo,,,categorizations,,,,,
unhcr_region,UNHCR Regions,entity_set,geo,,,categorizations,,,,,
west_and_rest,West and Rest,entity_set,geo,,,categorizations,,,,,
subnational_region,Subnational Region,entity_set,geo,,,categorizations,,,,,
